"","id","sleep_day","total_sleep_records","total_minutes_asleep","total_time_in_bed","hours_in_bed","hours_asleep","time_taken_to_sleep"
"1",1503960366,2020-04-12,1,327,346,5.77,5.45,0.319999999999999
"2",1503960366,2020-04-13,2,384,407,6.78,6.4,0.38
"3",1503960366,2020-04-15,1,412,442,7.37,6.87,0.5
"4",1503960366,2020-04-16,2,340,367,6.12,5.67,0.45
"5",1503960366,2020-04-17,1,700,712,11.87,11.67,0.199999999999999
"6",1503960366,2020-04-19,1,304,320,5.33,5.07,0.26
"7",1503960366,2020-04-20,1,360,377,6.28,6,0.28
"8",1503960366,2020-04-21,1,325,364,6.07,5.42,0.65
"9",1503960366,2020-04-23,1,361,384,6.4,6.02,0.380000000000001
"10",1503960366,2020-04-24,1,430,449,7.48,7.17,0.31
"11",1503960366,2020-04-25,1,277,323,5.38,4.62,0.76
"12",1503960366,2020-04-26,1,245,274,4.57,4.08,0.49
"13",1503960366,2020-04-28,1,366,393,6.55,6.1,0.45
"14",1503960366,2020-04-29,1,341,354,5.9,5.68,0.220000000000001
"15",1503960366,2020-04-30,1,404,425,7.08,6.73,0.35
"16",1503960366,2020-05-01,1,369,396,6.6,6.15,0.449999999999999
"17",1503960366,2020-05-02,1,277,309,5.15,4.62,0.53
"18",1503960366,2020-05-03,1,273,296,4.93,4.55,0.38
"19",1503960366,2020-05-05,1,247,264,4.4,4.12,0.28
"20",1503960366,2020-05-06,1,334,367,6.12,5.57,0.55
"21",1503960366,2020-05-07,1,331,349,5.82,5.52,0.300000000000001
"22",1503960366,2020-05-08,1,594,611,10.18,9.9,0.279999999999999
"23",1503960366,2020-05-09,1,338,342,5.7,5.63,0.0700000000000003
"24",1503960366,2020-05-10,1,383,403,6.72,6.38,0.34
"25",1503960366,2020-05-11,1,285,306,5.1,4.75,0.35
"26",1644430081,2020-04-29,1,119,127,2.12,1.98,0.14
"27",1644430081,2020-04-30,1,124,142,2.37,2.07,0.3
"28",1644430081,2020-05-02,1,796,961,16.02,13.27,2.75
"29",1644430081,2020-05-08,1,137,154,2.57,2.28,0.29
"30",1844505072,2020-04-15,1,644,961,16.02,10.73,5.29
"31",1844505072,2020-04-30,1,722,961,16.02,12.03,3.99
"32",1844505072,2020-05-01,1,590,961,16.02,9.83,6.19
"33",1927972279,2020-04-12,3,750,775,12.92,12.5,0.42
"34",1927972279,2020-04-13,1,398,422,7.03,6.63,0.4
"35",1927972279,2020-04-15,2,475,499,8.32,7.92,0.4
"36",1927972279,2020-04-26,1,296,315,5.25,4.93,0.32
"37",1927972279,2020-04-28,1,166,178,2.97,2.77,0.2
"38",2026352035,2020-04-12,1,503,546,9.1,8.38,0.719999999999999
"39",2026352035,2020-04-13,1,531,565,9.42,8.85,0.57
"40",2026352035,2020-04-14,1,545,568,9.47,9.08,0.390000000000001
"41",2026352035,2020-04-15,1,523,573,9.55,8.72,0.83
"42",2026352035,2020-04-16,1,524,567,9.45,8.73,0.719999999999999
"43",2026352035,2020-04-17,1,437,498,8.3,7.28,1.02
"44",2026352035,2020-04-19,1,498,540,9,8.3,0.699999999999999
"45",2026352035,2020-04-20,1,461,510,8.5,7.68,0.82
"46",2026352035,2020-04-21,1,477,514,8.57,7.95,0.62
"47",2026352035,2020-04-22,1,520,545,9.08,8.67,0.41
"48",2026352035,2020-04-23,1,522,554,9.23,8.7,0.530000000000001
"49",2026352035,2020-04-24,1,555,591,9.85,9.25,0.6
"50",2026352035,2020-04-25,1,506,531,8.85,8.43,0.42
"51",2026352035,2020-04-27,1,508,545,9.08,8.47,0.609999999999999
"52",2026352035,2020-04-28,1,513,545,9.08,8.55,0.529999999999999
"53",2026352035,2020-04-29,1,490,510,8.5,8.17,0.33
"54",2026352035,2020-04-30,1,573,607,10.12,9.55,0.569999999999999
"55",2026352035,2020-05-01,1,527,546,9.1,8.78,0.32
"56",2026352035,2020-05-02,1,511,543,9.05,8.52,0.530000000000001
"57",2026352035,2020-05-04,1,538,560,9.33,8.97,0.359999999999999
"58",2026352035,2020-05-05,1,468,485,8.08,7.8,0.28
"59",2026352035,2020-05-06,1,524,548,9.13,8.73,0.4
"60",2026352035,2020-05-07,1,511,521,8.68,8.52,0.16
"61",2026352035,2020-05-08,1,541,568,9.47,9.02,0.450000000000001
"62",2026352035,2020-05-09,1,531,556,9.27,8.85,0.42
"63",2026352035,2020-05-10,1,357,380,6.33,5.95,0.38
"64",2026352035,2020-05-11,1,523,553,9.22,8.72,0.5
"65",2026352035,2020-05-12,1,456,485,8.08,7.6,0.48
